Item No.,Quantity,Name,Material
1,1,back_cartesian,PETG
2,1,DIN 912 M3 40 mm,Hardened Alloy Steel
3,8,"M3  Hex nut ",Hardened Alloy Steel
4,1,5015 fan,- None -
5,1,DIN 912 M3 25 mm,Hardened Alloy Steel
6,1,tension_slider_6mm_belt_M3s,PETG
7,1,M3s nut,Hardened Alloy Steel
8,1,cartesian_cable_fin,PETG
9,1,DIN 912 M3 12 mm,Hardened Alloy Steel
10,2,DIN 912 M3 30 mm,Hardened Alloy Steel
