Item,Quantity,Name,Material
1,1,top_endstop_openbuilds_mgn15,PETG
2,1,Micro Limit Switch,- None -
3,2,DIN 912 M2 10 mm,Hardened Alloy Steel
4,1,DIN 912 M3 6 mm,Hardened Alloy Steel
5,1,"M3  Hex nut ",Hardened Alloy Steel
