Item,Quantity,Name,Material
1,1,4010 FAN,- None -
2,2,DIN 912 M3 20 mm,Hardened Alloy Steel
3,6,"M3  Hex nut ",Hardened Alloy Steel
4,4,DIN 912 M3 25 mm,Hardened Alloy Steel
5,2,DIN 912 M3 10 mm,Hardened Alloy Steel
6,1,Dragon hotend,- None -
7,1,dragon_face,PETG
8,1,v6_support,PETG
9,1,DIN 912 M3 8 mm,Hardened Alloy Steel
10,1,shroud,PETG
